排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
655,高速公路,6694671.0,1292443,20,334733.55,6.80751153118652,9.115,0.1,11,3,6,⭐,auto
656,诊断服务,6489469.0,402700,5,1297893.8,18.88486301575676,,0.44,4,0,1,⭐,auto
657,胶黏剂及胶带,6403432.0,347300,5,1280686.4,21.23750426646211,,0.51,2,3,0,⭐,auto
658,其他黑色家电,6210973.0,470740,6,1035162.1666666666,15.095527580767136,,0.13,4,1,1,⭐,auto
659,厨房小家电,6182072.0,374080,9,686896.8888888889,34.079256779927505,,1.02,4,4,1,⭐,auto
660,其他运输设备,6134799.0,771101,8,766849.875,13.408565574846053,,0.77,5,2,1,⭐,auto
661,大气治理,6027453.4399999995,341486,6,1004575.5733333332,18.49545308600509,,0.02,2,3,1,⭐,auto
662,商业地产,5847847.0,1752100,10,584784.7,5.671590540928994,2.7913333333333337,-0.0,3,2,5,⭐,auto
663,耐火材料,5823536.0,522074,5,1164707.2,14.469015802467778,,0.49,3,2,0,⭐,auto
664,商用载客车,5716216.0,264400,5,1143243.2,28.96175019978251,,0.13,3,0,2,⭐,auto
665,快递,5617852.0,253900,4,1404463.0,27.84556283789605,,-0.18,0,3,1,⭐,auto
666,品牌化妆品,5304466.66,206298,8,663058.3325,32.09319388807319,,-0.19,0,5,3,⭐,auto
667,印染,5244883.0,424200,4,1311220.75,15.590087921885006,,-0.12,2,1,1,⭐,auto
668,线下药店,5042760.2,284947,8,630345.025,18.39738936902056,,-0.18,3,4,1,⭐,auto
669,厨卫电器,5042039.0,331400,9,560226.5555555555,23.224457599395798,,-0.02,3,4,2,⭐,auto
670,印刷包装机械,4956115.0,331000,10,495611.5,17.125785497309884,,0.21,7,3,0,⭐,auto
671,炭黑,4585551.0,395900,6,764258.5,13.631748487804408,,-0.23,3,3,0,⭐,auto
672,原材料供应链服务,4490272.0,651200,12,374189.3333333333,7.930453429101845,,-0.25,5,4,3,⭐,auto
673,图片媒体,4482814.0,208600,1,4482814.0,21.49,,0.05,1,0,0,⭐,auto
674,棉纺,4404072.0,580700,8,550509.0,8.65581449622077,,0.07,3,1,4,⭐,auto
675,生活用纸,4394088.0,300540,9,488232.0,17.98442845022676,,0.02,2,5,2,⭐,auto
676,自然景区,4356014.0,377900,12,363001.1666666667,17.20600599538936,,0.09,5,2,4,⭐,auto
677,举牌,4323563.0,405600,4,1080890.75,10.753397508027522,,0.5,2,2,0,⭐,auto
678,粮油加工,4123634.0,405800,7,589090.5714285715,15.446230140696288,7.099,-0.07,1,4,2,⭐,auto
679,酒店餐饮,3834442.0,400900,9,426049.1111111111,14.949495968383404,3.7920000000000003,0.22,6,2,1,⭐,auto
680,钛白粉,3808846.0,578400,6,634807.6666666666,9.218242260254156,2.994,0.32,3,1,2,⭐,auto
681,冶钢辅料,3801874.0,922100,3,1267291.3333333333,4.809075997784251,,0.24,2,0,1,⭐,auto
682,租赁,3709185.0,619400,3,1236395.0,6.160223728393166,4.5200000000000005,0.08,2,1,0,⭐,auto
683,托育服务,3593454.0,395100,7,513350.5714285714,9.599790346557937,,-0.16,0,2,5,⭐,auto
684,宠物食品,3569646.0,94500,3,1189882.0,40.91527812001526,,0.01,1,2,0,⭐,auto
685,其他养殖,3559721.0,1220801,3,1186573.6666666667,3.0017958036598933,,-0.87,1,1,1,⭐,auto
686,公交,3434155.0,284100,6,572359.1666666666,14.817124034879033,,0.07,2,3,1,⭐,auto
687,焦炭Ⅲ,3396249.0,899100,7,485178.4285714286,3.8395449420816905,,0.01,1,1,5,⭐,auto
688,焦炭Ⅱ,3396249.0,899100,7,485178.4285714286,3.8395449420816905,,0.01,1,1,5,⭐,auto
689,化妆品制造及其他,2857482.0,223600,6,476247.0,19.687078749752406,,0.1,3,3,0,⭐,auto
690,氨纶,2748500.0,239000,1,2748500.0,11.5,,1.41,1,0,0,⭐,auto
691,锦纶,2650712.0,373300,5,530142.4,7.812769512493246,,0.24,2,3,0,⭐,auto
692,信托,2618943.24,719402,3,872981.0800000001,3.921174786056073,3.186,0.0,0,0,3,⭐,auto
693,汽车服务,2590785.0,401500,8,323848.125,7.687825747794587,,0.1,2,1,5,⭐,auto
694,广告媒体,2534487.0,421700,3,844829.0,6.217098533154836,,0.12,2,0,1,⭐,auto
695,酒店,2348406.0,155200,5,469681.2,18.837866433657553,3.7920000000000003,0.05,3,1,1,⭐,auto
696,洗护用品,2331928.0,328400,4,582982.0,11.053244396911055,,-0.16,2,2,0,⭐,auto
697,院线,2233055.0,191200,4,558263.75,12.864858577151033,,0.32,4,0,0,⭐,auto
698,其他饰品,2142182.0,372020,2,1071091.0,6.22540965240115,,-0.67,0,1,1,⭐,auto
699,教育运营及其他,2104328.0,686400,2,1052164.0,3.1562743830809645,,-0.34,0,1,1,⭐,auto
700,人工景区,2069893.0,241500,5,413978.6,11.497338572573558,,0.22,2,2,1,⭐,auto
701,教育出版,2044788.0,253000,10,204478.8,9.5400775043672,,0.28,6,2,2,⭐,auto
702,视频媒体,1999230.0,103000,1,1999230.0,19.41,,0.05,1,0,0,⭐,auto
703,火电设备,1973471.0,481100,4,493367.75,8.648715329487992,,-0.32,1,3,0,⭐,auto
704,农用机械,1956441.5,200087,8,244555.1875,15.646801476047202,,0.04,4,2,2,⭐,auto
705,粮食种植,1954520.0,153800,2,977260.0,13.765729335079714,,-0.13,1,1,0,⭐,auto
706,血液制品,1934864.0,172900,6,322477.3333333333,13.32807956528211,11.614,0.03,1,3,2,⭐,auto
707,汽车综合服务,1834160.0,249300,4,458540.0,8.002360960875823,,0.12,1,1,2,⭐,auto
708,其他能源发电,1680105.0,395300,2,840052.5,4.607863347826475,,-0.26,0,1,1,⭐,auto
709,其他医疗服务,1606157.0,120723,4,401539.25,13.643148590081791,9.36,-0.07,1,1,2,⭐,auto
710,医疗美容,1499846.0,26116,3,499948.6666666667,105.0045242386885,,-0.04,1,2,0,⭐,auto
711,餐饮,1486036.0,245700,4,371509.0,8.804643131121992,,0.42,3,1,0,⭐,auto
712,医美耗材,1462023.0,15216,2,731011.5,107.6312546733533,,-0.35,0,2,0,⭐,auto
713,渔业,1446038.0,364800,6,241006.33333333334,5.13150047232507,,0.03,2,2,2,⭐,auto
714,其他专业服务,1323697.0,34500,3,441232.3333333333,49.36842148165328,,0.01,1,2,0,⭐,auto
715,燃料电池,1309632.0,47675,1,1309632.0,27.47,,0.0,0,0,1,⭐,auto
716,其他数字媒体,1205425.0,83500,2,602712.5,21.795098201879004,,0.05,1,0,1,⭐,auto
717,水产养殖,1134176.0,333000,4,283544.0,3.841785878029512,,0.07,2,1,1,⭐,auto
718,其他家电Ⅲ,1077898.0,99400,3,359299.3333333333,16.411973192268658,,-0.41,0,2,1,⭐,auto
719,其他家电Ⅱ,1077898.0,99400,3,359299.3333333333,16.411973192268658,,-0.41,0,2,1,⭐,auto
