排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
383,精准医疗,266715749.69,27828700.0,39,6838865.376666667,0.02,31,6,2,⭐,auto
384,辅助生殖,265082691.96,18746400.0,53,5001560.225660377,0.54,37,14,2,⭐,auto
385,中药Ⅱ,260976549.57,24736300.0,59,4423331.3486440675,-0.07,33,22,4,⭐,auto
386,中药Ⅲ,260976549.57,24736300.0,59,4423331.3486440675,-0.07,33,22,4,⭐,auto
387,冰雪经济,257303811.33,24898100.0,45,5717862.474,0.03,24,19,2,⭐,auto
388,医疗器械概念,250274863.0,16495000.0,91,2750273.2197802197,0.48,71,15,5,⭐,auto
389,汽车零部件,248698880.0,7434700.0,62,4011272.2580645164,0.69,53,7,2,⭐,auto
390,HJT电池,248320787.0,18553600.0,34,7303552.55882353,0.4,27,6,1,⭐,auto
391,磁悬浮概念,246612428.9,18394300.0,25,9864497.156,0.75,21,1,3,⭐,auto
392,氟化工,243761836.94,6923500.0,6,40626972.82333333,0.58,5,1,0,⭐,auto
393,快手概念,239368503.02999997,19593100.0,36,6649125.084166666,1.01,34,1,1,⭐,auto
394,汽车一体化压铸,238855461.0,11868800.0,26,9186748.5,0.48,22,3,1,⭐,auto
395,医疗器械,236463923.57,16371500.0,91,2598504.6546153845,0.31,70,17,4,⭐,auto
396,被动元件,233826113.56,5797000.0,16,14614132.0975,1.04,12,3,1,⭐,auto
397,VPN,231051660.65,10096700.0,20,11552583.0325,0.45,19,1,0,⭐,auto
398,工程机械,227440860.04000002,19382700.0,28,8122887.85857143,0.29,20,7,1,⭐,auto
399,纳米银,226936170.0,8571600.0,6,37822695.0,2.13,6,0,0,⭐,auto
400,生物制品,226469202.2,8735800.0,52,4355176.965384616,0.13,34,17,1,⭐,auto
401,北交所概念,224006290.01,19435000.0,23,9739403.91347826,1.11,17,5,1,⭐,auto
402,拼多多概念,220676607.6,24861000.0,35,6305045.931428571,0.55,24,8,3,⭐,auto
403,EDR概念,219289404.29999998,4778300.0,13,16868415.715384614,1.12,11,2,0,⭐,auto
404,大众出版,217192539.4,13746800.0,18,12066252.188888889,0.35,13,2,3,⭐,auto
405,国有大型银行Ⅲ,216929186.0,32557700.0,8,27116148.25,-0.49,0,7,1,⭐,auto
406,AI语料,216706697.06,25159300.0,36,6019630.473888889,1.02,33,2,1,⭐,auto
407,食品安全,213768332.2,15413100.0,51,4191535.925490196,0.47,34,15,2,⭐,auto
408,镍,211753044.0,3177900.0,2,105876522.0,0.21,2,0,0,⭐,auto
409,铅锌,209521482.0,7958900.0,5,41904296.4,0.56,4,1,0,⭐,auto
410,旅游零售Ⅲ,205930198.0,4310600.0,2,102965099.0,-2.34,0,2,0,⭐,auto
411,旅游零售Ⅱ,205930198.0,4310600.0,2,102965099.0,-2.34,0,2,0,⭐,auto
412,一般零售,205122887.45999998,34812900.0,67,3061535.633731343,0.18,41,18,8,⭐,auto
413,光伏电池组件,204833205.0,16092100.0,25,8193328.2,0.37,17,7,1,⭐,auto
414,通信应用增值服务,203604023.67999998,5932600.0,16,12725251.479999999,2.31,15,1,0,⭐,auto
415,影视院线,203306780.54,26998400.0,15,13553785.369333332,0.56,9,6,0,⭐,auto
416,知识产权,200789778.8,9203900.0,41,4897311.678048781,0.74,35,4,2,⭐,auto
417,玻璃玻纤,200146445.36,7234200.0,15,13343096.357333334,1.07,14,0,1,⭐,auto
418,GDR,199072942.15,16688100.0,9,22119215.794444446,0.34,7,2,0,⭐,auto
419,轨交设备Ⅲ,198347563.4,25366700.0,34,5833751.864705883,-0.07,25,4,5,⭐,auto
420,3D摄像头,197423447.76,3639500.0,9,21935938.64,1.32,9,0,0,⭐,auto
421,屏下摄像,195948366.82999998,31540500.0,8,24493545.853749998,1.08,8,0,0,⭐,auto
422,工程机械概念,195283526.42000002,15791400.0,42,4649607.771904762,0.49,32,7,3,⭐,auto
423,铜,194991476.0,10225500.0,12,16249289.666666666,0.79,12,0,0,⭐,auto
424,玻纤制造,191953748.36,5593200.0,9,21328194.262222223,1.53,9,0,0,⭐,auto
425,ETC,191893256.19,23959800.0,37,5186304.221351352,0.87,32,4,1,⭐,auto
426,粮食概念,191442053.0,28066700.0,33,5801274.333333333,-3.32,7,23,3,⭐,auto
427,核污染防治,190327762.89,10032800.0,33,5767507.966363636,0.54,26,7,0,⭐,auto
428,草甘膦,187645923.14,21495800.0,17,11037995.478823528,-0.37,3,11,3,⭐,auto
429,预制菜概念,187184292.76,31094500.0,61,3068594.9632786885,-0.01,35,21,5,⭐,auto
430,免疫治疗,186085634.97,17686100.0,40,4652140.87425,0.24,23,15,2,⭐,auto
431,港口,185955612.16,20217100.0,25,7438224.4864,0.18,19,3,3,⭐,auto
432,化妆品概念,185264062.43,15314300.0,56,3308286.829107143,0.38,40,13,3,⭐,auto
433,钒电池,185020015.25,24010100.0,17,10883530.30882353,0.55,13,3,1,⭐,auto
434,家居用品,184476129.54,17337800.0,73,2527070.2676712326,0.16,45,26,2,⭐,auto
435,电子纸概念,184296578.82999998,46981500.0,13,14176659.909999998,0.8,12,1,0,⭐,auto
436,汽车电子电气系统,183986160.08,12985500.0,33,5575338.184242425,-2.45,24,9,0,⭐,auto
437,建筑节能,183883272.44,16389500.0,46,3997462.444347826,0.57,36,9,1,⭐,auto
438,地摊经济,182985903.1,10595400.0,27,6777255.67037037,0.23,18,7,2,⭐,auto
439,腾讯云,179352933.32,5022300.0,22,8152406.06,1.25,21,1,0,⭐,auto
440,饮料乳品,178937440.0,12249700.0,20,8946872.0,-0.23,5,13,2,⭐,auto
441,化学纤维,178479197.0,11397000.0,26,6864584.5,-0.05,18,8,0,⭐,auto
