排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
522,综合电力设备商,35587658.0,2190400,2,17793829.0,26.917380125435624,,0.7,2,0,0,⭐,auto
523,油田服务,35037125.0,3872600,7,5005303.571428572,10.521916180337286,,1.16,6,0,1,⭐,auto
524,铁路公路,34755460.0,6518000,33,1053195.7575757576,8.984386849145428,7.588000000000001,0.05,13,8,12,⭐,auto
525,煤炭,34200231.0,3905405,32,1068757.21875,16.79763918056577,4.038,-0.17,12,14,6,⭐,auto
526,盲盒经济,34007138.0,1833700,12,2833928.1666666665,22.184581334071687,,0.05,5,4,3,⭐,auto
527,无机盐,33127140.0,1018300,11,3011558.1818181816,60.08286381800541,,-0.91,2,8,1,⭐,auto
528,旅游酒店,32682585.740000002,2531498,35,933788.1640000001,30.521402965535366,6.425000000000001,0.18,19,8,8,⭐,auto
529,乘用车,32673070.0,1243000,8,4084133.75,72.53887101273313,5.5120000000000005,-0.05,1,3,4,⭐,auto
530,其他生物制品,31744291.0,1014266,35,906979.7428571428,75.26378368575313,21.179000000000002,0.22,20,9,6,⭐,auto
531,医废处理,31652381.0,4800900,31,1021044.5483870967,16.87844221671665,7.071,0.17,15,13,3,⭐,auto
532,租售同权,30975806.0,6141100,17,1822106.2352941176,12.682398027673598,4.1324000000000005,-0.38,3,13,1,⭐,auto
533,电能综合服务,30856423.0,3955508,16,1928526.4375,8.95200177382842,,-0.06,5,5,6,⭐,auto
534,纸包装,30807611.0,2041376,19,1621453.2105263157,20.937574567206784,,0.0,9,8,2,⭐,auto
535,物流,30315049.6,2977580,46,659022.8173913044,16.89927407250556,,-0.16,19,18,9,⭐,auto
536,煤炭开采,29932913.0,2780105,25,1197316.52,18.641851597604283,4.038,-0.14,12,10,3,⭐,auto
537,MLOps概念,29845007.0,1267302,10,2984500.7,42.850390597328385,,-0.09,3,5,2,⭐,auto
538,阿兹海默,29723009.0,3058913,21,1415381.380952381,14.961864727423794,,-0.4,7,11,3,⭐,auto
539,房屋建设Ⅱ,29690789.0,13445702,8,3711348.625,11.01711082012674,,-0.52,1,3,4,⭐,auto
540,人造肉,29566337.0,2852200,18,1642574.2777777778,12.304505719122394,3.06,-0.29,4,10,4,⭐,auto
541,镍,29460882.0,468600,1,29460882.0,62.87,,0.0,0,0,1,⭐,auto
542,免税概念,28436023.0,2572800,18,1579779.0555555555,30.08486033683402,9.107000000000001,-0.05,8,6,4,⭐,auto
543,SPD概念,28202129.0,3645386,13,2169394.5384615385,8.991126425242577,9.538,-0.06,5,6,2,⭐,auto
544,铁路运输,28069698.0,5418800,7,4009956.8571428573,9.177778026682011,4.656000000000001,0.02,3,2,2,⭐,auto
545,互联网电商,27966884.8,3555510,18,1553715.8222222223,18.058335465521704,,-0.27,7,9,2,⭐,auto
546,保险Ⅲ,27670111.0,781300,5,5534022.2,50.75747260536829,,-0.12,1,3,1,⭐,auto
547,电动乘用车,25837698.0,495900,3,8612566.0,89.01008275350227,,-0.08,0,1,2,⭐,auto
548,饮料乳品,25536410.0,1224290,26,982169.6153846154,53.2832315164896,,0.07,11,10,4,⭐,auto
549,专业服务,25325120.0,1234947,30,844170.6666666666,36.05262735299971,,0.07,13,16,1,⭐,auto
550,美容护理,25019178.8,1289941,30,833972.6266666667,43.13074871066512,,0.15,18,9,3,⭐,auto
551,调味发酵品Ⅲ,25018385.2,2015424,14,1787027.5142857141,16.947779379142343,,-0.23,5,7,2,⭐,auto
552,调味发酵品Ⅱ,25018385.2,2015424,14,1787027.5142857141,16.947779379142343,,-0.23,5,7,2,⭐,auto
553,贸易Ⅲ,24256896.0,3347100,15,1617126.4,7.992607091195839,12.056000000000001,-0.13,4,7,4,⭐,auto
554,林业Ⅲ,23217915.0,1945000,4,5804478.75,12.043235632915358,,0.06,3,1,0,⭐,auto
555,林业Ⅱ,23217915.0,1945000,4,5804478.75,12.043235632915358,,0.06,3,1,0,⭐,auto
556,农药,22458430.68,1384348,31,724465.5058064515,30.19396206266002,6.321,0.12,15,12,4,⭐,auto
557,动力煤,22447098.0,1649905,15,1496473.2,22.265424651329095,4.038,-0.2,9,6,0,⭐,auto
558,净水概念,22315245.0,1613081,21,1062630.7142857143,42.18566772222308,43.016,-0.19,5,7,8,⭐,auto
559,娱乐用品,22303680.0,1459100,18,1239093.3333333333,19.810437473995325,,0.12,9,4,5,⭐,auto
560,橡胶,22232932.6,1311740,17,1307819.5647058825,33.423373926568736,,0.43,8,4,5,⭐,auto
561,社区团购,21909745.0,3298699,38,576572.2368421053,16.90416778424395,5.011,-0.11,16,11,11,⭐,auto
562,检测服务,21166921.0,998447,21,1007948.619047619,35.769013669016864,,0.01,9,11,1,⭐,auto
563,草甘膦,21050723.68,2307593,13,1619286.4369230769,30.596254523578448,6.321,-0.04,7,5,1,⭐,auto
564,钛白粉概念,21044126.0,1468900,12,1753677.1666666667,28.08568582986055,3.0300000000000002,-0.07,4,4,4,⭐,auto
565,航空机场,20563309.0,4757700,13,1581793.0,12.024953497027155,12.408999999999999,-0.17,5,7,1,⭐,auto
566,同步磁阻电机,20154807.0,1228958,7,2879258.1428571427,25.279642899582218,,-0.32,3,4,0,⭐,auto
567,白色家电,20020801.0,1363400,10,2002080.1,44.78220700210746,43.016,-0.06,3,5,2,⭐,auto
568,光伏主材,19818253.0,1188200,3,6606084.333333333,16.716239964743615,,-0.89,0,3,0,⭐,auto
569,特种纸,19639177.0,3471900,12,1636598.0833333333,6.798082226663571,,-0.23,3,6,3,⭐,auto
570,鸡肉概念,19508167.0,2373300,20,975408.35,13.132010416457886,5.587999999999999,0.14,11,5,4,⭐,auto
571,港口,19347462.1,2567398,16,1209216.38125,10.1165496856045,8.695,-0.05,4,6,6,⭐,auto
572,农产品加工,19107253.0,1501400,21,909869.1904761905,25.194115674817308,7.154,0.3,8,6,7,⭐,auto
573,肝素概念,18786436.0,1438750,13,1445110.4615384615,24.208596857860638,6.4079999999999995,-0.15,3,6,4,⭐,auto
574,粮食概念,18768680.0,2926500,27,695136.2962962963,7.217952485736875,7.459999999999999,0.23,19,5,3,⭐,auto
575,熔盐储能,18377155.0,1370200,10,1837715.5,20.57852382101582,,-0.13,3,4,3,⭐,auto
576,印染,18071396.0,1203895,4,4517849.0,16.41674313207458,,-1.6,1,3,0,⭐,auto
577,食品及饲料添加剂,17790308.0,1292301,22,808650.3636363636,19.304005963246958,,-0.01,11,8,3,⭐,auto
578,医院,17781371.82,2481920,15,1185424.788,17.63061098526649,4.614,-0.08,5,9,1,⭐,auto
579,旅游及景区,17519998.740000002,1858598,24,729999.9475000001,16.01259588767527,7.3053333333333335,0.17,14,6,4,⭐,auto
580,纺织化学制品,17438274.0,1955600,13,1341405.6923076923,11.6331551299171,,0.04,6,6,1,⭐,auto
581,商用车,16762766.0,1159100,13,1289443.5384615385,33.23534518229271,18.988,0.04,7,4,2,⭐,auto
582,退税商店,16496247.0,1903100,12,1374687.25,9.646340949550526,7.081999999999999,-0.15,5,5,2,⭐,auto
583,油气开采Ⅲ,16205120.0,2279512,5,3241024.0,17.23040342003021,,-0.68,3,1,1,⭐,auto
584,油气开采Ⅱ,16205120.0,2279512,5,3241024.0,17.23040342003021,,-0.68,3,1,1,⭐,auto
585,种植业,16116678.0,2057700,19,848246.2105263158,10.059929827970752,,0.25,13,4,2,⭐,auto
586,化学工程,15974086.0,2405900,6,2662347.6666666665,8.35551332577025,,-0.46,2,4,0,⭐,auto
587,氯碱,15690243.0,1860600,14,1120731.642857143,11.576777626069912,16.554,0.2,7,4,3,⭐,auto
588,供销社概念,15362816.0,2178200,14,1097344.0,17.715281132052876,1.7600000000000002,0.06,8,6,0,⭐,auto
589,耐火材料,15262364.0,997200,5,3052472.8,19.748705800752756,,-0.09,2,2,1,⭐,auto
590,饰品,15238202.0,1774700,14,1088443.0,11.411946990858896,13.106,-0.05,5,4,5,⭐,auto
591,多业态零售,15198425.0,3679000,15,1013228.3333333334,7.515170377851651,6.407,-0.45,4,7,4,⭐,auto
592,抗菌面料,15041969.0,1095100,16,940123.0625,24.19937511704751,,-0.26,3,10,3,⭐,auto
593,电视广播Ⅱ,15009241.0,2397700,13,1154557.0,8.2325063812354,7.536,-0.02,5,5,3,⭐,auto
594,电视广播Ⅲ,15009241.0,2397700,13,1154557.0,8.2325063812354,7.536,-0.02,5,5,3,⭐,auto
595,饲料,14658406.0,1327600,16,916150.375,22.602312910421507,,0.25,9,3,4,⭐,auto
596,轮胎轮毂,14393845.0,1234600,21,685421.1904761905,16.58032149088725,,-0.06,6,11,4,⭐,auto
597,其他石化,14350480.0,1180400,14,1025034.2857142857,16.59541130331529,,0.19,8,4,2,⭐,auto
598,软饮料,14025376.0,478890,8,1753172.0,79.78409134628548,,-0.08,2,6,0,⭐,auto
599,重组蛋白,13638844.0,558065,16,852427.75,36.01354473443644,32.188,-0.03,7,8,1,⭐,auto
600,诊断服务,13141420.0,751800,5,2628284.0,22.330219379640862,,-0.27,1,2,2,⭐,auto
601,水产概念,12969917.0,1871800,15,864661.1333333333,13.788732471456834,,0.23,9,2,4,⭐,auto
602,可燃冰,12853370.0,1379300,9,1428152.2222222222,11.687664200128058,12.984,-0.15,4,2,3,⭐,auto
603,体育Ⅱ,12643965.0,891900,2,6321982.5,14.19763749346032,,-0.26,0,1,1,⭐,auto
604,跨境电商,12503705.8,2223710,7,1786243.6857142858,9.761586275806328,,-0.1,4,3,0,⭐,auto
605,定制家居,12285252.0,819000,14,877518.0,17.978482788957034,,-0.28,4,9,1,⭐,auto
606,资产管理,12245620.0,728400,4,3061405.0,23.36124177297679,9.658999999999999,-0.9,0,4,0,⭐,auto
607,图片媒体,12061105.35,537243,1,12061105.35,22.449999999999996,,1.81,1,0,0,⭐,auto
608,商用载货车,11981225.0,701800,8,1497653.125,39.179114149846946,18.988,0.01,3,3,2,⭐,auto
609,非白酒,11882140.0,1294200,15,792142.6666666666,19.64342147626606,,0.22,10,4,1,⭐,auto
610,电信运营商,11769853.0,1716574,3,3923284.3333333335,26.716153962160785,,-0.17,0,2,1,⭐,auto
611,水泥制品,11532173.0,1119256,9,1281352.5555555555,12.15998038964556,,0.0,4,1,4,⭐,auto
612,乳品,11511034.0,745400,18,639501.8888888889,20.993819163421804,,0.15,9,4,4,⭐,auto
613,金融信息服务,11267503.0,566500,3,3755834.3333333335,23.02172418946771,,-0.64,0,3,0,⭐,auto
614,空调,11137126.0,177500,3,3712375.3333333335,69.74153381222409,80.276,-0.15,0,3,0,⭐,auto
615,涤纶,11060809.49,1506405,10,1106080.949,9.289568856655174,,-0.24,5,3,2,⭐,auto
616,化妆品,10970151.0,581600,14,783582.2142857143,28.471671224033283,,0.12,8,5,1,⭐,auto
617,照明设备Ⅱ,10953944.11,738151,12,912828.6758333333,45.099226811474026,5.692,-0.67,2,5,5,⭐,auto
618,照明设备Ⅲ,10953944.11,738151,12,912828.6758333333,45.099226811474026,5.692,-0.67,2,5,5,⭐,auto
619,商业地产,10848408.0,2990700,10,1084840.8,6.371162747566279,2.878,-0.32,2,8,0,⭐,auto
620,房地产服务,10403251.0,3525600,11,945750.0909090909,7.936867224485884,2.464,-0.02,4,6,1,⭐,auto
621,厨卫电器,10321134.0,517100,9,1146792.6666666667,27.819128806970237,,-0.32,2,5,2,⭐,auto
622,旅游零售Ⅱ,9815605.0,204500,2,4907802.5,59.884174714650804,,0.17,1,0,1,⭐,auto
623,旅游零售Ⅲ,9815605.0,204500,2,4907802.5,59.884174714650804,,0.17,1,0,1,⭐,auto
